tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,year,month
790,01/12/2019 00:01:25,01/12/2019 00:14:35,370,Dartmouth St at Newbury St,42.35096144,-71.07782811,33,Kenmore Square,42.348706,-71.097009,5133,Subscriber,1950,1,2019,12
166,01/12/2019 00:05:43,01/12/2019 00:08:29,80,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,2653,Subscriber,1993,1,2019,12
323,01/12/2019 00:08:29,01/12/2019 00:13:52,381,Inman Square at Springfield St.,42.37438409,-71.10015746,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,4875,Subscriber,1992,1,2019,12
709,01/12/2019 00:08:39,01/12/2019 00:20:28,185,Third at Binney,42.36544486,-71.08277142,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,2116,Subscriber,1997,1,2019,12
332,01/12/2019 00:10:09,01/12/2019 00:15:41,221,Verizon Innovation Hub 10 Ware Street,42.37250865,-71.11305356,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,6156,Subscriber,1985,1,2019,12
507,01/12/2019 00:14:26,01/12/2019 00:22:53,177,University Park,42.36264779,-71.10006094,381,Inman Square at Springfield St.,42.37438409,-71.10015746,3981,Subscriber,1990,1,2019,12
794,01/12/2019 00:17:47,01/12/2019 00:31:02,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,105,Lower Cambridgeport at Magazine St / Riverside Rd,42.3572185,-71.11387163,2408,Subscriber,1988,2,2019,12
1354,01/12/2019 00:18:20,01/12/2019 00:40:54,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,409,Elm St at White St,42.38952436,-71.1169414,3411,Subscriber,1992,1,2019,12
1227,01/12/2019 00:19:02,01/12/2019 00:39:29,21,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,3750,Subscriber,1963,1,2019,12
1068,01/12/2019 00:24:41,01/12/2019 00:42:30,21,Prudential Center - 101 Huntington Ave,42.34652004,-71.08065777,405,Sydney St at Carson St,42.32039374,-71.05355408,2482,Customer,1995,1,2019,12
665,01/12/2019 00:26:34,01/12/2019 00:37:40,391,Encore,42.39329263,-71.0724476,94,Main St at Austin St,42.375603,-71.064608,5986,Customer,1988,1,2019,12
676,01/12/2019 00:26:52,01/12/2019 00:38:09,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,141,Kendall Street,42.36356016,-71.08216792,4016,Subscriber,1987,2,2019,12
535,01/12/2019 00:28:20,01/12/2019 00:37:16,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,5385,Subscriber,1993,1,2019,12
1255,01/12/2019 00:29:24,01/12/2019 00:50:19,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,2749,Subscriber,1994,1,2019,12
1124,01/12/2019 00:29:56,01/12/2019 00:48:41,335,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,66,Commonwealth Ave at Griggs St,42.34922469,-71.13275303,5028,Customer,1969,0,2019,12
1553,01/12/2019 00:30:30,01/12/2019 00:56:24,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,378,191 Beacon St,42.38032335,-71.10878613,4262,Subscriber,1993,2,2019,12
1483,01/12/2019 00:31:02,01/12/2019 00:55:45,14,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.33741748,-71.10286117,378,191 Beacon St,42.38032335,-71.10878613,5615,Subscriber,1985,1,2019,12
476,01/12/2019 00:34:07,01/12/2019 00:42:03,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,81,Chinatown T Stop,42.352409,-71.062679,3032,Customer,1988,1,2019,12
243,01/12/2019 00:36:21,01/12/2019 00:40:24,380,Mass Ave at Albany St,42.36135838,-71.09670274,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,5687,Subscriber,1994,1,2019,12
518,01/12/2019 00:39:25,01/12/2019 00:48:03,81,Chinatown T Stop,42.352409,-71.062679,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,4880,Customer,1969,0,2019,12
443,01/12/2019 00:41:07,01/12/2019 00:48:30,81,Chinatown T Stop,42.352409,-71.062679,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,2712,Customer,1969,0,2019,12
208,01/12/2019 00:43:06,01/12/2019 00:46:35,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,377,Perry Park,42.37927325,-71.10341903,5009,Subscriber,1988,1,2019,12
555,01/12/2019 00:49:13,01/12/2019 00:58:28,4,Tremont St at E Berkeley St,42.345392,-71.069616,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,3718,Subscriber,1993,1,2019,12
584,01/12/2019 00:50:57,01/12/2019 01:00:42,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,163,The Lawn on D,42.344792,-71.044024,5470,Customer,1992,1,2019,12
472,01/12/2019 00:52:19,01/12/2019 01:00:12,59,Chinatown Gate Plaza,42.351356,-71.059367,16,Back Bay T Stop - Dartmouth St at Stuart St,42.34807412,-71.07657015,4200,Subscriber,1970,1,2019,12
2043,01/12/2019 00:53:00,01/12/2019 01:27:04,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,4387,Subscriber,1993,1,2019,12
614,01/12/2019 00:55:32,01/12/2019 01:05:46,372,Boylston St at Exeter St,42.34958942,-71.07946779,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,4869,Subscriber,1994,1,2019,12
535,01/12/2019 00:56:49,01/12/2019 01:05:44,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,2934,Subscriber,1998,1,2019,12
1775,01/12/2019 00:57:58,01/12/2019 01:27:34,22,South Station - 700 Atlantic Ave,42.352175,-71.055547,403,Marion St at Harvard St,42.33978053,-71.1213335,5582,Subscriber,1980,1,2019,12
359,01/12/2019 01:00:01,01/12/2019 01:06:01,157,Seaport Blvd at Sleeper St,42.35317809,-71.04817357,366,Broadway T Stop,42.34278116,-71.05747275,4192,Customer,1991,1,2019,12
712,01/12/2019 01:03:17,01/12/2019 01:15:10,367,Vassal Lane at Tobin/VLUS,42.38393225,-71.13961272,330,30 Dane St,42.38100143,-71.10402523,3358,Subscriber,1989,1,2019,12
967,01/12/2019 01:06:26,01/12/2019 01:22:34,6,Cambridge St at Joy St,42.36121165,-71.0653062,139,Dana Park,42.36178044,-71.10809952,5806,Customer,1969,0,2019,12
287,01/12/2019 01:07:04,01/12/2019 01:11:51,107,Ames St at Main St,42.3625,-71.08822,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,4086,Subscriber,1989,1,2019,12
201,01/12/2019 01:09:34,01/12/2019 01:12:56,272,Shawmut T Stop,42.292917,-71.06575,349,Washington St at Talbot Ave,42.290333,-71.071806,6049,Customer,1985,1,2019,12
186,01/12/2019 01:15:07,01/12/2019 01:18:13,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,5541,Customer,1993,1,2019,12
479,01/12/2019 01:15:36,01/12/2019 01:23:35,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,6123,Subscriber,1992,1,2019,12
150,01/12/2019 01:15:49,01/12/2019 01:18:20,100,Davis Square,42.396969,-71.123024,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,2060,Subscriber,1991,2,2019,12
1383,01/12/2019 01:19:33,01/12/2019 01:42:36,107,Ames St at Main St,42.3625,-71.08822,107,Ames St at Main St,42.3625,-71.08822,4714,Subscriber,2001,1,2019,12
617,01/12/2019 01:20:57,01/12/2019 01:31:15,6,Cambridge St at Joy St,42.36121165,-71.0653062,143,EF - North Point Park,42.369885,-71.069957,4973,Customer,1997,1,2019,12
296,01/12/2019 01:21:40,01/12/2019 01:26:36,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,5696,Subscriber,1984,2,2019,12
441,01/12/2019 01:23:27,01/12/2019 01:30:48,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,115,Porter Square Station,42.387995,-71.119084,3111,Subscriber,1994,1,2019,12
334,01/12/2019 01:23:44,01/12/2019 01:29:18,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,3849,Subscriber,1992,2,2019,12
674,01/12/2019 01:29:03,01/12/2019 01:40:18,189,Kendall T,42.36242784,-71.08495474,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,3934,Subscriber,1992,1,2019,12
1011,01/12/2019 01:30:12,01/12/2019 01:47:04,361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,175,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,5984,Customer,1969,0,2019,12
681,01/12/2019 01:32:33,01/12/2019 01:43:55,356,Charlestown Navy Yard,42.37412455,-71.054812,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,5040,Subscriber,1991,1,2019,12
1641,01/12/2019 01:32:56,01/12/2019 02:00:17,152,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,5267,Customer,1991,2,2019,12
668,01/12/2019 01:36:20,01/12/2019 01:47:28,69,Coolidge Corner - Beacon St at Centre St,42.341598,-71.123338,342,Boylston St at Jersey St,42.34465063,-71.09732501,4131,Subscriber,1989,1,2019,12
1407,01/12/2019 01:37:09,01/12/2019 02:00:36,54,Tremont St at West St,42.354979,-71.063348,126,Egleston Square - Atherton St at Washington St,42.315692,-71.098634,4737,Customer,1969,0,2019,12
649,01/12/2019 01:42:20,01/12/2019 01:53:10,78,Union Square - Somerville,42.37967148,-71.0954931,156,Somerville Hospital,42.39678589,-71.10237297,6130,Subscriber,1993,1,2019,12
156976,01/12/2019 01:55:37,02/12/2019 21:31:53,405,Sydney St at Carson St,42.32039374,-71.05355408,1,18 Dorrance Warehouse,42.387151,-71.075978,5973,Customer,1969,0,2019,12
4869,01/12/2019 01:56:33,01/12/2019 03:17:43,203,Columbia Rd at Ceylon St,42.309572,-71.0729,353,Mattapan Library,42.2773889,-71.09325,4458,Customer,1993,1,2019,12
1631,01/12/2019 02:00:36,01/12/2019 02:27:47,390,Broadway at Lynde St,42.39648358,-71.0654676,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,3882,Subscriber,1994,1,2019,12
191,01/12/2019 02:01:09,01/12/2019 02:04:20,369,Boston Public Market,42.36254854,-71.05737358,40,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,4499,Customer,1969,0,2019,12
565,01/12/2019 02:08:53,01/12/2019 02:18:18,189,Kendall T,42.36242784,-71.08495474,139,Dana Park,42.36178044,-71.10809952,2206,Subscriber,1992,1,2019,12
1162,01/12/2019 02:12:48,01/12/2019 02:32:11,49,Stuart St at Charles St,42.351146,-71.066289,327,Main St at Thompson Sq,42.37487847,-71.06383499,4773,Subscriber,1986,1,2019,12
429,01/12/2019 02:14:34,01/12/2019 02:21:44,59,Chinatown Gate Plaza,42.351356,-71.059367,163,The Lawn on D,42.344792,-71.044024,3578,Subscriber,1994,1,2019,12
103,01/12/2019 02:25:25,01/12/2019 02:27:08,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,5762,Subscriber,1994,1,2019,12
976,01/12/2019 02:29:16,01/12/2019 02:45:32,107,Ames St at Main St,42.3625,-71.08822,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4127,Subscriber,1994,1,2019,12
