tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,postal code,year,month,birth year,gender
1793,01/11/2020 00:00:18,01/11/2020 00:30:12,186,Congress St at Northern Ave,42.3481,-71.03764,186,Congress St at Northern Ave,42.3481,-71.03764,4896,Customer,11214,2020,11,,
1832,01/11/2020 00:00:34,01/11/2020 00:31:07,186,Congress St at Northern Ave,42.3481,-71.03764,186,Congress St at Northern Ave,42.3481,-71.03764,5630,Customer,11220,2020,11,,
262,01/11/2020 00:01:55,01/11/2020 00:06:17,186,Congress St at Northern Ave,42.3481,-71.03764,7,Fan Pier,42.35339051,-71.0445714,5634,Subscriber,2128,2020,11,,
419,01/11/2020 00:04:00,01/11/2020 00:11:00,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,6071,Customer,2139,2020,11,,
275,01/11/2020 00:04:01,01/11/2020 00:08:36,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,2712,Subscriber,21015,2020,11,,
684,01/11/2020 00:04:39,01/11/2020 00:16:04,11,Longwood Ave at Binney St,42.338629,-71.1065,372,Boylston St at Exeter St,42.34958942,-71.07946779,6082,Subscriber,2116,2020,11,,
608,01/11/2020 00:04:44,01/11/2020 00:14:52,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,3793,Subscriber,2138,2020,11,,
438,01/11/2020 00:05:57,01/11/2020 00:13:16,141,Kendall Street,42.36356016,-71.08216792,437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,3057,Subscriber,2141,2020,11,,
541,01/11/2020 00:07:16,01/11/2020 00:16:17,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,5615,Subscriber,2138,2020,11,,
1138,01/11/2020 00:07:18,01/11/2020 00:26:17,60,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,5548,Subscriber,2114,2020,11,,
